track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
children,america,0.389,0.281,7.0,-17.232,1.0,0.0306,0.642,0.0,0.102,0.216,139.328,audio_features,67ZhSDwDXJetHnJpCBzWIJ,spotify:track:67ZhSDwDXJetHnJpCBzWIJ,https://api.spotify.com/v1/tracks/67ZhSDwDXJetHnJpCBzWIJ,https://api.spotify.com/v1/audio-analysis/67ZhSDwDXJetHnJpCBzWIJ,188293.0,5.0
a thing of the past,phyllis dillon,0.49,0.393,3.0,-9.944,1.0,0.0461,0.684,1.2e-06,0.157,0.878,204.256,audio_features,2qlYaNxnHpLMXBz51RTJAC,spotify:track:2qlYaNxnHpLMXBz51RTJAC,https://api.spotify.com/v1/tracks/2qlYaNxnHpLMXBz51RTJAC,https://api.spotify.com/v1/audio-analysis/2qlYaNxnHpLMXBz51RTJAC,162507.0,4.0
dreams of the everyday housewife,glen campbell,0.329,0.559,7.0,-11.346,1.0,0.0394,0.242,0.0,0.15,0.587,169.296,audio_features,7J0AqOGLuT3TxoHKzX8RLL,spotify:track:7J0AqOGLuT3TxoHKzX8RLL,https://api.spotify.com/v1/tracks/7J0AqOGLuT3TxoHKzX8RLL,https://api.spotify.com/v1/audio-analysis/7J0AqOGLuT3TxoHKzX8RLL,155093.0,3.0
he's just an old love turned memory,tammy wynette,0.439,0.234,4.0,-12.544,1.0,0.0278,0.815,0.0,0.113,0.363,85.315,audio_features,7AycWmt9Ud2dvf8ccfBcon,spotify:track:7AycWmt9Ud2dvf8ccfBcon,https://api.spotify.com/v1/tracks/7AycWmt9Ud2dvf8ccfBcon,https://api.spotify.com/v1/audio-analysis/7AycWmt9Ud2dvf8ccfBcon,171907.0,3.0
just a lil bit,50 cent,0.489,0.692,1.0,-6.672,1.0,0.41,0.0322,0.00608,0.315,0.527,96.946,audio_features,4nva9EpKntUTs6CRSGBCn9,spotify:track:4nva9EpKntUTs6CRSGBCn9,https://api.spotify.com/v1/tracks/4nva9EpKntUTs6CRSGBCn9,https://api.spotify.com/v1/audio-analysis/4nva9EpKntUTs6CRSGBCn9,237707.0,4.0
only in your heart,america,0.453,0.579,0.0,-9.055,1.0,0.0441,0.591,0.0218,0.323,0.441,82.034,audio_features,1Wlzkd8MudkGiUL3l7u7Rl,spotify:track:1Wlzkd8MudkGiUL3l7u7Rl,https://api.spotify.com/v1/tracks/1Wlzkd8MudkGiUL3l7u7Rl,https://api.spotify.com/v1/audio-analysis/1Wlzkd8MudkGiUL3l7u7Rl,197000.0,4.0
no one else on earth,wynonna,0.775,0.861,0.0,-7.119,1.0,0.0295,0.188,4.2e-06,0.199,0.964,98.649,audio_features,52PGtJuGEFNVOnRdLac1Av,spotify:track:52PGtJuGEFNVOnRdLac1Av,https://api.spotify.com/v1/tracks/52PGtJuGEFNVOnRdLac1Av,https://api.spotify.com/v1/audio-analysis/52PGtJuGEFNVOnRdLac1Av,255400.0,4.0
everything i've got,blossom dearie,0.659,0.305,5.0,-12.498,1.0,0.0668,0.851,2.32e-06,0.119,0.629,106.159,audio_features,526RZHnkSJs51Zqr3LW3qZ,spotify:track:526RZHnkSJs51Zqr3LW3qZ,https://api.spotify.com/v1/tracks/526RZHnkSJs51Zqr3LW3qZ,https://api.spotify.com/v1/audio-analysis/526RZHnkSJs51Zqr3LW3qZ,149800.0,5.0
only when you leave,spandau ballet,0.585,0.842,7.0,-5.683,0.0,0.0449,0.238,6.92e-06,0.051,0.701,137.28,audio_features,4J9RF6DuQ1wX0EspW3staI,spotify:track:4J9RF6DuQ1wX0EspW3staI,https://api.spotify.com/v1/tracks/4J9RF6DuQ1wX0EspW3staI,https://api.spotify.com/v1/audio-analysis/4J9RF6DuQ1wX0EspW3staI,311467.0,4.0
steelo,702,0.767,0.731,8.0,-8.109,0.0,0.114,0.103,0.00364,0.102,0.678,90.997,audio_features,5OQO6NEs89flntUWPtXUiG,spotify:track:5OQO6NEs89flntUWPtXUiG,https://api.spotify.com/v1/tracks/5OQO6NEs89flntUWPtXUiG,https://api.spotify.com/v1/audio-analysis/5OQO6NEs89flntUWPtXUiG,257960.0,4.0
how are you true,cage the elephant,0.493,0.461,11.0,-9.777,0.0,0.0336,0.391,0.000346,0.0985,0.288,140.034,audio_features,6vcdiwrCVXnTLASFdjEV8r,spotify:track:6vcdiwrCVXnTLASFdjEV8r,https://api.spotify.com/v1/tracks/6vcdiwrCVXnTLASFdjEV8r,https://api.spotify.com/v1/audio-analysis/6vcdiwrCVXnTLASFdjEV8r,280947.0,4.0
heaven must have sent you,the elgins,0.656,0.523,2.0,-9.341,0.0,0.0287,0.305,1.42e-06,0.102,0.681,139.0,audio_features,4iWytemcQqCczcPPpT0L0P,spotify:track:4iWytemcQqCczcPPpT0L0P,https://api.spotify.com/v1/tracks/4iWytemcQqCczcPPpT0L0P,https://api.spotify.com/v1/audio-analysis/4iWytemcQqCczcPPpT0L0P,152933.0,4.0
expiration date,blockhead,0.632,0.646,10.0,-10.572,0.0,0.0269,0.0813,0.862,0.112,0.556,109.965,audio_features,5RL7Pq7FlVHDu4ZFivKTeU,spotify:track:5RL7Pq7FlVHDu4ZFivKTeU,https://api.spotify.com/v1/tracks/5RL7Pq7FlVHDu4ZFivKTeU,https://api.spotify.com/v1/audio-analysis/5RL7Pq7FlVHDu4ZFivKTeU,341987.0,4.0
our guessing game,the moody blues,0.281,0.588,0.0,-11.118,1.0,0.059,0.284,0.000488,0.781,0.157,112.195,audio_features,76XsVURnpjGRZa8sPKcG7L,spotify:track:76XsVURnpjGRZa8sPKcG7L,https://api.spotify.com/v1/tracks/76XsVURnpjGRZa8sPKcG7L,https://api.spotify.com/v1/audio-analysis/76XsVURnpjGRZa8sPKcG7L,214160.0,4.0
the woman in me (needs the man in you),shania twain,0.572,0.276,10.0,-12.958,1.0,0.0297,0.506,1.22e-05,0.141,0.137,123.833,audio_features,4wkXHkv0WTzsyMZpADgZOB,spotify:track:4wkXHkv0WTzsyMZpADgZOB,https://api.spotify.com/v1/tracks/4wkXHkv0WTzsyMZpADgZOB,https://api.spotify.com/v1/audio-analysis/4wkXHkv0WTzsyMZpADgZOB,289573.0,4.0
local still,nazareth,0.586,0.831,7.0,-6.669,1.0,0.0274,0.03,2.12e-05,0.789,0.756,132.256,audio_features,4BRl9A8EJ28XmqJnqnF53l,spotify:track:4BRl9A8EJ28XmqJnqnF53l,https://api.spotify.com/v1/tracks/4BRl9A8EJ28XmqJnqnF53l,https://api.spotify.com/v1/audio-analysis/4BRl9A8EJ28XmqJnqnF53l,209893.0,4.0
something my heart trusts,yazmin lacey,0.698,0.422,1.0,-7.775,1.0,0.0531,0.474,0.00301,0.0905,0.428,78.992,audio_features,3x6MMrVeJrWLbLCs6wgMf0,spotify:track:3x6MMrVeJrWLbLCs6wgMf0,https://api.spotify.com/v1/tracks/3x6MMrVeJrWLbLCs6wgMf0,https://api.spotify.com/v1/audio-analysis/3x6MMrVeJrWLbLCs6wgMf0,277037.0,4.0
blue jean blues,zz top,0.648,0.242,11.0,-11.319,0.0,0.0399,0.577,0.0124,0.104,0.294,130.885,audio_features,6Gyk7ZHfFWo3d8U7poUEPs,spotify:track:6Gyk7ZHfFWo3d8U7poUEPs,https://api.spotify.com/v1/tracks/6Gyk7ZHfFWo3d8U7poUEPs,https://api.spotify.com/v1/audio-analysis/6Gyk7ZHfFWo3d8U7poUEPs,282627.0,3.0
"never again, again",lee ann womack,0.492,0.483,6.0,-8.761,1.0,0.0258,0.458,0.0,0.107,0.355,87.648,audio_features,1Hj4IvdyLhEkYCDpn5OWvz,spotify:track:1Hj4IvdyLhEkYCDpn5OWvz,https://api.spotify.com/v1/tracks/1Hj4IvdyLhEkYCDpn5OWvz,https://api.spotify.com/v1/audio-analysis/1Hj4IvdyLhEkYCDpn5OWvz,225040.0,4.0
save me,queen,0.507,0.45,7.0,-6.796,1.0,0.0268,0.359,0.0,0.127,0.327,81.633,audio_features,2mGEqJahn3CSyCG1BTEqMs,spotify:track:2mGEqJahn3CSyCG1BTEqMs,https://api.spotify.com/v1/tracks/2mGEqJahn3CSyCG1BTEqMs,https://api.spotify.com/v1/audio-analysis/2mGEqJahn3CSyCG1BTEqMs,229920.0,3.0
